"file","method","hasCompany","hasPlant"
"C:\Project\HANES\apps\backend\src\modules\consumables\controllers\consumable-label.controller.ts","confirmBulk","False","False"
"C:\Project\HANES\apps\backend\src\modules\consumables\controllers\consumable-label.controller.ts","confirmReceiving","False","False"
"C:\Project\HANES\apps\backend\src\modules\consumables\controllers\consumable-label.controller.ts","getMasters","False","False"
"C:\Project\HANES\apps\backend\src\modules\consumables\controllers\consumable-label.controller.ts","getPending","False","False"
"C:\Project\HANES\apps\backend\src\modules\consumables\controllers\consumables.controller.ts","create","False","False"
"C:\Project\HANES\apps\backend\src\modules\consumables\controllers\consumables.controller.ts","delete","False","False"
"C:\Project\HANES\apps\backend\src\modules\consumables\controllers\consumables.controller.ts","findAllLogs","False","False"
"C:\Project\HANES\apps\backend\src\modules\consumables\controllers\consumables.controller.ts","findById","False","False"
"C:\Project\HANES\apps\backend\src\modules\consumables\controllers\consumables.controller.ts","getLifeStatus","False","False"
"C:\Project\HANES\apps\backend\src\modules\consumables\controllers\consumables.controller.ts","getStockStatus","False","False"
"C:\Project\HANES\apps\backend\src\modules\consumables\controllers\consumables.controller.ts","getSummary","False","False"
"C:\Project\HANES\apps\backend\src\modules\consumables\controllers\consumables.controller.ts","getWarningList","False","False"
"C:\Project\HANES\apps\backend\src\modules\consumables\controllers\consumables.controller.ts","removeImage","False","False"
"C:\Project\HANES\apps\backend\src\modules\consumables\controllers\consumables.controller.ts","update","False","False"
"C:\Project\HANES\apps\backend\src\modules\equipment\controllers\consumable.controller.ts","create","False","False"
"C:\Project\HANES\apps\backend\src\modules\equipment\controllers\consumable.controller.ts","createLog","False","False"
"C:\Project\HANES\apps\backend\src\modules\equipment\controllers\consumable.controller.ts","delete","False","False"
"C:\Project\HANES\apps\backend\src\modules\equipment\controllers\consumable.controller.ts","findByCategory","False","False"
"C:\Project\HANES\apps\backend\src\modules\equipment\controllers\consumable.controller.ts","findByCode","False","False"
"C:\Project\HANES\apps\backend\src\modules\equipment\controllers\consumable.controller.ts","findById","False","False"
