"file","method","repoOps"
"C:\Project\HANES\apps\backend\src\modules\consumables\services\consumable-label.service.ts","createConLabels","1"
"C:\Project\HANES\apps\backend\src\modules\consumables\services\consumables.service.ts","createLog","1"
"C:\Project\HANES\apps\backend\src\modules\consumables\services\consumables.service.ts","resetShotCount","1"
"C:\Project\HANES\apps\backend\src\modules\consumables\services\consumables.service.ts","updateShotCount","1"
"C:\Project\HANES\apps\backend\src\modules\equipment\services\equip-inspect.service.ts","create","1"
"C:\Project\HANES\apps\backend\src\modules\equipment\services\mold.service.ts","delete","1"
"C:\Project\HANES\apps\backend\src\modules\equipment\services\mold.service.ts","findById","1"
"C:\Project\HANES\apps\backend\src\modules\equipment\services\mold.service.ts","getMaintenanceDue","1"
"C:\Project\HANES\apps\backend\src\modules\equipment\services\mold.service.ts","getUsageLogs","1"
"C:\Project\HANES\apps\backend\src\modules\inventory\services\product-inventory.service.ts","cancelTransaction","1"
"C:\Project\HANES\apps\backend\src\modules\inventory\services\warehouse-location.service.ts","create","1"
"C:\Project\HANES\apps\backend\src\modules\master\services\com-code.service.ts","create","1"
"C:\Project\HANES\apps\backend\src\modules\master\services\company.service.ts","update","1"
"C:\Project\HANES\apps\backend\src\modules\master\services\iqc-group.service.ts","create","1"
"C:\Project\HANES\apps\backend\src\modules\master\services\iqc-item-pool.service.ts","create","1"
"C:\Project\HANES\apps\backend\src\modules\master\services\iqc-part-link.service.ts","create","1"
"C:\Project\HANES\apps\backend\src\modules\master\services\plant.service.ts","create","1"
"C:\Project\HANES\apps\backend\src\modules\master\services\process-capa.service.ts","create","1"
"C:\Project\HANES\apps\backend\src\modules\master\services\routing-group.service.ts","bulkSaveConditions","1"
"C:\Project\HANES\apps\backend\src\modules\master\services\routing-group.service.ts","createGroup","1"
"C:\Project\HANES\apps\backend\src\modules\master\services\routing-group.service.ts","createProcess","1"
"C:\Project\HANES\apps\backend\src\modules\master\services\vendor-barcode-mapping.service.ts","create","1"
"C:\Project\HANES\apps\backend\src\modules\master\services\work-calendar.service.ts","bulkUpdateDays","2"
"C:\Project\HANES\apps\backend\src\modules\master\services\work-calendar.service.ts","copyFrom","1"
"C:\Project\HANES\apps\backend\src\modules\master\services\work-calendar.service.ts","create","1"
"C:\Project\HANES\apps\backend\src\modules\material\services\adjustment.service.ts","_executeAdjustment","1"
"C:\Project\HANES\apps\backend\src\modules\material\services\adjustment.service.ts","createPending","2"
"C:\Project\HANES\apps\backend\src\modules\material\services\arrival.service.ts","createManualArrival","1"
"C:\Project\HANES\apps\backend\src\modules\material\services\arrival.service.ts","getStats","1"
"C:\Project\HANES\apps\backend\src\modules\material\services\arrival.service.ts","upsertStock","1"
