LINE_CODE,ORGANIZATION_ID,LINE_DIVISION,LINE_NAME,ENTER_BY,ENTER_DATE,LAST_MODIFY_BY,LAST_MODIFY_DATE,LINE_PRODUCT_DIVISION,CAPACITY,UPH_VALUE,CAPACITY_UOM,USE_RATE,LINE_STATUS,ACTION_DATE,LINE_STATUS_CODE,MES_DISPLAY_GROUP,MES_DISPLAY_YN,MES_DISPLAY_SEQUENCE,DAY_START_TIME,NIGHT_START_TIME,SHOW_TABLE_YN,LINE_NAME_NUM,MASK_LOT_NO,MASK_CHECK_DATE,SQUEZE_LOT_NO,SQUEZE_CHECK_DATE,SOLDER_LOT_NO,SOLDER_CHECK_DATE,MODEL_NAME,MODEL_SUFFIX,ITEM_CODE,CCS_STATUS,FULL_CHECK_DATE,CCS_DATE,REFLOW_TEMP_VALUE,REFLOW_SOLDER_TYPE,REFLOW_CHECK_DATE,NSNP_STATUS,PCB_SCAN_STATUS,PCB_ITEM_CODE,PCB_SCAN_DATE,NSNP_START_DATE,PCB_ITEM,CHILD_ITEM_CODE,RUN_NO,REAL_ST,LAST_ACTUAL_DATE,COMMENTS,NSNP_REASON,NSNP_LOCK_TYPE,ACTIVE_YN,HEALTH_POINT,MASTER_MODEL_NAME,SMT_MODEL_NAME,PRODUCTION_TYPE,LINE_CODE_GROUP,FEEDER_LAYOUT_NAME,SQUEEZE_LOT_NO,SQUEEZE_CHECK_DATE,LAST_MODEL_NAME,LAST_MASK_LOT_NO,XRAY_CHECK_DATE,AOI_SAMPLE_CHECK_DATE,LV_SAMPLE_CHECK_DATE,TILT_SAMPLE_CHECK_DATE,RUN_NO_CHANGED_BY,RUN_DATE,SPEC_CHECK_STATUS,SPEC_CHECK_DATE,BACKUPBLOCK_CHECK_DATE,BACKUPBLOCK_LOT_NO,ROUTER_CHECK_DATE,ROUTER_LOT_NO,ROMWRITE_CHECK_DATE,ROMWRITE_LOT_NO,FIXTURE_CHECK_DATE,FIXTURE_LOT_NO,SAMPLE_CHECK_DATE,SAMPLE_LOT_NO,PROFILE_CHECK_DATE,PROFILE_LOT_NO,MASK_LOT_NO2,MASK_CHECK_DATE2,SQUEEZE_LOT_NO2,SQUEEZE_CHECK_DATE2,LAST_MASK_LOT_NO2,SAMPLE_CHECK_DATE2,SAMPLE_LOT_NO2,LAST_BACKUPBLOCK_LOT_NO,LAST_SQUEEZE_LOT_NO,LAST_SQUEEZE_LOT_NO2,LAST_ROUTER_LOT_NO,LAST_ROMWRITE_LOT_NO,LAST_FIXTURE_LOT_NO,LAST_SAMPLE_LOT_NO,LAST_SAMPLE_LOT_NO2,LAST_PROFILE_LOT_NO,LAST_SOLDER_LOT_NO,LAST_SPEC_CHECK_STATUS,LAST_RUN_NO,LAST_SOLDER_CHECK_DATE,LAST_PCB_ITEM,ICT_CHECK_DATE,ICT_LOT_NO,LAST_ICT_CHECK_DATE,LAST_ICT_LOT_NO,LAST_SPEC_CHECK_DATE,SAMPLE_ICT_CHECK_DATE,SAMPLE_ICT_LOT_NO,SAMPLE_ICT_CHECK_DATE2,SAMPLE_ICT_LOT_NO2,LAST_SAMPLE_ICT_LOT_NO,LAST_SAMPLE_ICT_LOT_NO2,SOLDER_TYPE,LCR_CHECK_DATE,LCR_LOT_NO,NOZZLE_CHECK_STATUS,NOZZLE_CHECK_DATE,LINE_NAME_GROUP,LINE_CODE_MACHINE,SAOI_NG_REVIEW_URL,INTERLOCK_COUNTER,MAOI_NG_REVIEW_URL,EPOXY_CHECK_DATE,EPOXY_LOT_NO,LAST_EPOXY_CHECK_DATE,LAST_EPOXY_LOT_NO,WATCHER_LINE_CODE,LINE_SUB_NAME,LINE_SUB_PRODUCT_DIVISION,LAST_SPI_RESET_DATE,LAST_AOI_RESET_DATE,SAMPLE_AOI_CHECK_DATE,SAMPLE_AOI_CHECK_DATE2,SAMPLE_AOI_LOT_NO,SAMPLE_AOI_LOT_NO2,SAMPLE_HIPOT_CHECK_DATE,SAMPLE_HIPOT_CHECK_DATE2,SAMPLE_HIPOT_LOT_NO,SAMPLE_HIPOT_LOT_NO2,SAMPLE_FCT_CHECK_DATE,SAMPLE_FCT_CHECK_DATE2,SAMPLE_FCT_LOT_NO,SAMPLE_FCT_LOT_NO2,SAMPLE_CASE_CHECK_DATE,SAMPLE_CASE_CHECK_DATE2,SAMPLE_CASE_LOT_NO,SAMPLE_CASE_LOT_NO2,SAMPLE_FT1_CHECK_DATE,SAMPLE_FT1_CHECK_DATE2,SAMPLE_FT1_LOT_NO,SAMPLE_FT1_LOT_NO2,SAMPLE_HIPOT2_CHECK_DATE,SAMPLE_HIPOT2_CHECK_DATE2,SAMPLE_HIPOT2_LOT_NO,SAMPLE_HIPOT2_LOT_NO2,SAMPLE_ATE_CHECK_DATE,SAMPLE_ATE_CHECK_DATE2,SAMPLE_ATE_LOT_NO,SAMPLE_ATE_LOT_NO2,JIG_FUNC_ICT_CHECK_DATE,JIG_FUNC_ICT_LOT_NO,JIG_FUNC_HIPOT_CHECK_DATE,JIG_FUNC_HIPOT_LOT_NO,JIG_FUNC_CALIB_CHECK_DATE,JIG_FUNC_CALIB_LOT_NO,LINE_WORKER_ID,LINE_WORKER_CHANGE_DATE,LAST_LINE_STATUS_CHANGE_DATE,DAY_PLAN_QTY,NIGHT_PLAN_QTY
*,1,C,NONE,ADMIN,2023-10-25 16:01:29,ADMIN,2024-03-25 08:11:13,COMMON,,,,,N,,N,*,N,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00,1,D,COMMON,ADMIN,2023-12-21 00:00:00,ADMIN,2023-12-21 00:00:00,SMD,,,,,N,,N,*,N,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,COM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMMON,,,,,,,,,-,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,1,D,S09,ADMIN,2023-10-25 16:01:29,FULL CHECK,2026-04-29 18:11:01,SMD,,,,,N,,N,*,Y,9,,,,109,SSMS-0048,2026-04-24 06:42:03,,,B260416156,2026-04-29 04:49:36,NB90A910121A,,NB90A910121A,,2026-04-29 18:11:01,2026-04-24 05:17:39,,,,WAIT,,,,,T,,01AL1NCE8,,,,,,N,,NB90A910121A,NB90A910121A,P,S09,NB90A910121A,SSS-014,2026-04-24 06:09:47,ML92A320786A,SSAS-0410-001,,,,,PDA M,2026-04-24 05:17:49,P,2026-04-28 21:59:29,,,,,,,,,2026-04-24 05:48:51,000001,,,,,,,,2026-04-24 05:48:51,000001,,SSS-031,,,,,000001,000001,,B260416144,P,01AL4L64F,2026-04-28 21:23:41,T,,,,,2026-04-23 18:54:16,,,,,,,F,,,,,S09,,,,,,,,,,,A,2025-08-13 09:53:46,2025-12-19 09:11:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03,1,D,S10,ADMIN,2023-10-25 16:01:29,FULL CHECK,2026-04-29 18:50:55,SMD,,,,,N,,N,*,Y,10,,,,110,,,,,,,ML92A250982A,,ML92A250982A,,,2026-04-29 18:50:50,,,,WAIT,,,,,B,,03AL4V72A,,,,,,N,,ML92A250982A,ML92A250982A,P,S10,ML92A250982A,,,ML92A320707A,SSSS-0329,,,,,PDA M,2026-04-29 18:50:55,,,,,,,,,,,,,,,,,,,,,,,SSS-013,,,,,000063,000063,,B260416156,P,03AL4M765,2026-04-29 11:29:20,T,,,,,2026-04-29 14:05:59,,,,,,,F,,,,,S10,,,17316,,,,,,,,A,2026-04-23 21:22:04,2026-04-24 23:41:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05,1,D,S06,ADMIN,2023-10-25 16:01:29,FULL CHECK,2026-04-29 19:12:50,SMD,,,,,N,,N,*,Y,6,,,,106,,,,,,,MC92A250950A,,MC92A250950A,,,2026-04-29 19:12:28,,,,WAIT,,,,,B,,05AL4W779,,,,,,N,,MC92A250950A,MC92A250950A,P,S06,MC92A250950A,,,ML92A320854A,SSSB-0334,,,,,PDA M,2026-04-29 19:12:50,,,,,,,,,,,,,,,,,,,,,,,SSB-001,,,,,000063,000063,,,P,05AL4R6DF,,B,,,,,2026-04-28 22:21:26,,,,,,,F,,,,,S06,,,,,,,2026-04-29 14:03:21,B260425003,,,A,2024-06-21 12:40:34,2026-01-27 09:03:34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17027354,,,,
07,1,D,A04,ADMIN,2023-10-25 16:01:29,FULL CHECK,2024-10-19 06:16:38,SMD,,,,,S,,N,*,N,31,,,,201,,,,,,,,,,,,,,,,WAIT,,,,,,,,,,,,,N,,,,,A04,,,,,,,,,,,,P,2025-10-12 07:27:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A04,,,,,,,,,,,A,2024-06-21 11:14:52,2024-10-18 14:25:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09,1,D,A05,ADMIN,2023-10-25 16:01:29,FULL CHECK,2024-10-22 06:01:01,SMD,,,,,N,,N,*,N,32,,,,202,,,,,,,,,,,,,,,,WAIT,,,,,,,,,,,,,N,,,,,A05,,,,,,,,,,,,P,2025-07-07 11:48:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A05,,,,,,,,,,,A,2024-06-21 11:00:08,2024-06-23 08:58:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1,D,A06,ADMIN,2023-10-25 16:01:29,FULL CHECK,2024-10-13 07:10:57,SMD,,,,,N,,N,*,N,33,,,,203,,,,,,,,,,,,,,,,WAIT,,,,,,,,,,,,,N,,,,,A06,,,,,,,,,,,,P,2024-12-04 09:22:19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A06,,,,,,,,,,,A,2024-06-26 14:51:58,2024-07-07 14:24:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1,D,S04,ADMIN,2023-10-25 16:01:29,LINE STATUS,2025-11-23 01:42:21,SMD,,,,,S,,STOP008,*,Y,4,,,,104,,,,,,,,,,,,,,,,WAIT,,,,,,,,,,,,,N,,,,,S04,,,,MW92A250920A,SSES-0456,,,,,,,P,2025-11-29 08:39:36,,,,,,,,,,,,,,,,,,,,,SSS-029,,,,,000001,000001,,B251102066,P,13AYAWF2E,2025-11-22 12:19:50,B,,,,,2025-11-22 11:07:23,,,,,,,,,,,,S04,,,,,,,,,,,A,2024-10-08 08:16:28,2025-11-21 08:24:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17027354,,,,
15,1,D,A08,ADMIN,2023-10-25 16:01:29,FULL CHECK,2024-11-03 01:33:30,SMD,,,,,S,,N,*,N,34,,,,204,,,,,,,,,,,,,,,,WAIT,,,,,,,,,,,,,N,,,,,A08,,,,ML92A320571A,SSLB-0102,,,,,,,P,2025-05-05 05:03:34,,,,,,,,,,,,,,,,,,,,,SSB-003,,,,,000008,000008,,,P,15AXB27FC,,B,,,,,2024-11-02 08:03:46,,,,,,,,,,,,A08,,,,,,,2024-10-31 11:23:37,A241022014,,,A,2024-06-21 11:01:12,2024-06-21 11:01:18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
